zipcode,state,state_code,city,population,Under18years,18_to_24years,25_to_44years,45_to_64years,65_and_over,Median_age,percentage_of_females,num_employee,annual_payroll,avg_income
1001,Massachusetts,MA,AGAWAM,16769,18.5,6.9,23.9,29.4,21.4,45.5,53.2,9033,356861,39506.4
1002,Massachusetts,MA,AMHERST,29049,13.9,38.2,17.6,19.8,10.5,24,52,16422,378362,23039.9
1003,Massachusetts,MA,AMHERST,10372,0.1,98,1.8,0.1,0,20.2,48.7,199,8009,40246.2
1005,Massachusetts,MA,BARRE,5079,25.3,7.7,23.2,31.1,12.8,41,49.4,1259,25041,19889.6
1007,Massachusetts,MA,BELCHERTOWN,14649,25.2,7,24.5,33.1,10.2,41.1,51.3,1793,53468,29820.4
1008,Massachusetts,MA,BLANDFORD,1263,20,6.6,21.9,38.2,13.3,45.8,48.3,161,2728,16944.1
1009,Massachusetts,MA,BONDSVILLE,741,21.3,8.8,28.9,28.9,12.1,39.5,47.9,154,7857,51019.5
1010,Massachusetts,MA,BRIMFIELD,3609,21.6,5.9,23.1,35.5,13.9,44.6,50.4,331,14100,42598.2
1011,Massachusetts,MA,CHESTER,1370,20.5,6.6,22,37.2,13.6,45.6,48.5,38,1368,36000
1012,Massachusetts,MA,CHESTERFIELD,661,18.2,6.5,20.1,41.6,13.6,47.4,49.5,63,1430,22698.4
1013,Massachusetts,MA,CHICOPEE,23188,23.3,10.3,27.4,24.7,14.2,36.4,53,4119,144125,34990.3
1020,Massachusetts,MA,CHICOPEE,29668,19.2,8.7,24.7,30.1,17.2,43.1,51.6,7718,268734,34819.1
1022,Massachusetts,MA,CHICOPEE,2451,15.2,20.3,20.4,26.4,17.7,37.4,52.8,2961,147626,49856.8
1026,Massachusetts,MA,CUMMINGTON,946,18.1,4.9,22.2,40.8,14.1,47.7,50.1,117,4173,35666.7
1027,Massachusetts,MA,EASTHAMPTON,17660,18.3,7.1,26.8,33.5,14.3,43.4,52.4,3947,138815,35169.8
1028,Massachusetts,MA,EAST LONGMEADOW,15720,23,6.4,20.6,29.9,20.1,45,52.9,7896,301949,38240.8
1029,Massachusetts,MA,EAST OTIS,789,17.6,4.4,20.5,39.7,17.7,48.7,47.8,0,0,0
1030,Massachusetts,MA,FEEDING HILLS,11669,22.8,7.9,22.6,33.3,13.4,42.9,50.8,1049,32991,31450
1031,Massachusetts,MA,GILBERTVILLE,1308,22.4,9.9,24.3,28.9,14.4,40.1,49.9,71,1390,19577.5
1032,Massachusetts,MA,GOSHEN,570,21.1,5.4,21.6,37.5,14.4,46.1,51.4,90,3691,41011.1
1033,Massachusetts,MA,GRANBY,6227,22.3,7.3,23.3,33.6,13.5,43.4,50.6,630,20584,32673
1034,Massachusetts,MA,GRANVILLE,2021,21.6,7.6,19,37.6,14.2,46,49.6,76,3344,44000
1035,Massachusetts,MA,HADLEY,5250,18.2,10.3,20.3,31.4,19.8,45.7,52.2,4702,130922,27843.9
1036,Massachusetts,MA,HAMPDEN,5109,21.4,6.7,18.2,35.2,18.4,47.1,51.4,650,23415,36023.1
1037,Massachusetts,MA,HARDWICK,838,33.4,11.2,18,27.1,10.3,33.1,47.5,0,0,0
1038,Massachusetts,MA,HATFIELD,2545,18.4,5.5,21.8,35.8,18.5,47.7,51.9,1386,60193,43429.3
1039,Massachusetts,MA,HAYDENVILLE,1336,17.3,4.6,22.2,42.8,13,48.3,53.7,217,7985,36797.2
1040,Massachusetts,MA,HOLYOKE,39880,26.4,10.2,25.5,23.7,14.2,35,53.1,16818,645655,38390.7
1050,Massachusetts,MA,HUNTINGTON,2530,21.9,7.3,24.5,34.5,11.7,42.9,49.7,159,4116,25886.8
1053,Massachusetts,MA,LEEDS,1685,14.9,4.4,16.6,39.1,25,52.1,50.2,1379,94559,68570.7
1054,Massachusetts,MA,LEVERETT,1851,19.2,5.9,19.3,39,16.7,48.7,50.2,140,4412,31514.3
1056,Massachusetts,MA,LUDLOW,21103,19.2,9,25.5,29.7,16.6,42.6,48.6,4187,175922,42016.2
1057,Massachusetts,MA,MONSON,8534,22.7,7.7,22.5,34.6,12.5,43.2,51,748,27042,36152.4
1060,Massachusetts,MA,NORTHAMPTON,15284,12.9,19.1,29.8,25.7,12.5,35.1,59.3,11607,440091,37916
1062,Massachusetts,MA,FLORENCE,11150,21.4,6.3,22.2,36.3,13.7,45,52.8,1658,57572,34723.8
1063,Massachusetts,MA,NORTHAMPTON,430,0.5,94.2,4.2,0.7,0.5,20.7,99.8,0,0,0
1066,Massachusetts,MA,NORTH HATFIELD,64,21.9,4.7,25,31.3,17.2,43,53.1,0,0,0
1068,Massachusetts,MA,OAKHAM,1902,22.1,7.7,22.2,38.2,9.8,43.7,49.8,0,2751,0
1069,Massachusetts,MA,PALMER,8469,20.4,8.6,23.7,32.3,15,43.5,50.1,2754,113875,41348.9
1070,Massachusetts,MA,PLAINFIELD,629,20.5,4.9,20,38.2,16.4,48.2,50.1,28,583,20821.4
1071,Massachusetts,MA,RUSSELL,1596,23.6,7,23.7,35.2,10.5,42.2,50.8,139,4461,32093.5
1072,Massachusetts,MA,SHUTESBURY,1478,23.7,5.1,21.8,41.6,7.8,44.7,52.4,53,1112,20981.1
1073,Massachusetts,MA,SOUTHAMPTON,5792,21.8,6.6,22.1,36.6,12.8,44.7,51.5,1046,29524,28225.6
1074,Massachusetts,MA,SOUTH BARRE,319,30.7,11.9,27,21.9,8.5,28.6,50.8,81,2398,29604.9
1075,Massachusetts,MA,SOUTH HADLEY,17527,16.9,17.6,21,27.3,17.2,40.6,59,4765,142614,29929.5
1077,Massachusetts,MA,SOUTHWICK,9502,22.2,7.1,23,33,14.7,43.6,50.4,2089,74789,35801.3
1079,Massachusetts,MA,THORNDIKE,692,22.8,9.5,24.9,29,13.7,40,49.4,60,1995,33250
1080,Massachusetts,MA,THREE RIVERS,2334,22,8.4,27.2,28.3,14.1,39.7,52.1,315,9677,30720.6
1081,Massachusetts,MA,WALES,1698,21.9,6.5,24.9,34.4,12.4,42.9,49.5,36,1195,33194.4
1082,Massachusetts,MA,WARE,10322,21.9,7.9,25.5,30.2,14.6,41.3,50.7,2359,82758,35081.8
1083,Massachusetts,MA,WARREN,2888,24.1,8.5,25.6,29.8,11.9,39.5,50.2,944,101889,107933
1084,Massachusetts,MA,WEST CHESTERFIELD,176,17,4.5,21,34.7,22.7,49.3,48.9,24,880,36666.7
1085,Massachusetts,MA,WESTFIELD,41117,21.8,13.2,23.1,28.1,13.9,39.1,51.1,13405,549101,40962.4
1086,Massachusetts,MA,WESTFIELD,687,0.1,99.7,0.1,0,0,19.4,50.8,0,24466,0
1088,Massachusetts,MA,WEST HATFIELD,670,13.3,6,20.3,43.1,17.3,50.2,48.7,288,10480,36388.9
1089,Massachusetts,MA,WEST SPRINGFIELD,28391,21.1,9.1,25.9,28.8,15.1,40.4,51.2,15955,566355,35497
1092,Massachusetts,MA,WEST WARREN,1394,25.3,9.6,26.3,27.9,11,38.3,49.9,74,2139,28905.4
1093,Massachusetts,MA,WHATELY,325,15.1,5.5,18.5,43.7,17.2,51.2,50.2,576,25027,43449.7
1094,Massachusetts,MA,WHEELWRIGHT,351,21.7,6.8,23.1,29.9,18.5,43.9,57.3,0,0,0
1095,Massachusetts,MA,WILBRAHAM,14319,23.6,6.4,18.2,33.1,18.8,46,52.6,3623,124262,34298.1
1096,Massachusetts,MA,WILLIAMSBURG,2217,19.7,5.9,22.3,37.8,14.3,46.2,52.5,351,10724,30552.7
